epoch,total_loss,actual_spike_rate,spike_nonzero_count,spike_element_count,total_spike_count_per_image,active_oscillator_count_per_image,mean_dense,absolute_mean_dense,raw_spike_rate,weighted_spike_rate,raw_spike_smooth,weighted_spike_smooth,raw_spike_diversity,weighted_spike_diversity,raw_structural,weighted_structural,raw_sample_diversity,weighted_sample_diversity,raw_temporal_balance,weighted_temporal_balance,raw_spatial_compactness,weighted_spatial_compactness,raw_edge_membrane,weighted_edge_membrane,raw_dense_magnitude_loss,weighted_dense_magnitude_loss,raw_dendritic_cancellation_loss,weighted_dendritic_cancellation_loss
52,0.065942442,0.314163086,643406,2048000,643.406,95.422,-2.130047081,3.996218956,0.005974938,0.001194988,0.001315623,0,0.798110865,0,0.73386493,0.022015948,0.9999953,0.039999812,0.001545792,0,0.551536224,0,0.201164625,0.002011646,1.58E-05,7.92E-06,0.01424268,0.000712134
53,0.065885965,0.313530762,642111,2048000,642.111,95,-2.130797298,3.996925968,0.005774752,0.00115495,0.001306972,0,0.797917226,0,0.733684669,0.02201054,0.999994085,0.039999763,0.001529915,0,0.55054161,0,0.200739214,0.002007392,1.08E-05,5.40E-06,0.014158299,0.000707915
54,0.065837939,0.312897949,640815,2048000,640.815,95,-2.131396433,3.997297508,0.005616717,0.001123343,0.001300266,0,0.797668603,0,0.733453871,0.022003616,0.999994962,0.039999798,0.001518046,0,0.549769061,0,0.200377753,0.002003778,8.55E-06,4.27E-06,0.014062644,0.000703132
55,0.065793549,0.311617188,638192,2048000,638.192,95,-2.131339367,3.99629529,0.005470938,0.001094188,0.001293293,0,0.797360962,0,0.733168189,0.021995046,0.999994781,0.039999791,0.001505387,0,0.549007423,0,0.199964723,0.001999647,1.56E-05,7.79E-06,0.013941674,0.000697084
56,0.06575058,0.309990234,634860,2048000,634.86,95,-2.131645351,3.996002594,0.005340519,0.001068104,0.00128534,0,0.797031138,0,0.732862607,0.021985878,0.99999398,0.039999759,0.001496795,0,0.548292461,0,0.199751653,0.001997517,1.74E-05,8.70E-06,0.013812386,0.000690619
57,0.06570365,0.309570313,634000,2048000,634,95,-2.132503235,3.996853872,0.005213288,0.001042658,0.001276479,0,0.796705521,0,0.732561549,0.021976846,0.999994598,0.039999784,0.001487148,0,0.547517983,0,0.199355221,0.001993552,1.17E-05,5.84E-06,0.013699416,0.000684971
58,0.065659206,0.308887207,632601,2048000,632.601,95,-2.133028973,3.997019234,0.00508167,0.001016334,0.001268,0,0.796405502,0,0.732284822,0.021968545,0.99999517,0.039999807,0.001475098,0,0.546637703,0,0.198935947,0.001989359,1.06E-05,5.29E-06,0.013597538,0.000679877
59,0.065601146,0.307861816,630501,2048000,630.501,95,-2.133634565,3.997310015,0.004907774,0.000981555,0.00125914,0,0.796119366,0,0.732021361,0.021960641,0.999994014,0.039999761,0.001459865,0,0.54558195,0,0.198099713,0.001980997,8.70E-06,4.35E-06,0.013476867,0.000673843
60,0.065548415,0.307053223,628845,2048000,628.845,95,-2.134087852,3.997249794,0.00474211,0.000948422,0.001250567,0,0.795844606,0,0.731769274,0.021953078,0.999993945,0.039999758,0.001446042,0,0.544541787,0,0.197486101,0.001974861,9.03E-06,4.52E-06,0.01335564,0.000667782
61,0.065501108,0.305712402,626099,2048000,626.099,95,-2.134406931,3.996872097,0.00459003,0.000918006,0.001242936,0,0.795600945,0,0.731546598,0.021946398,0.999993021,0.039999721,0.001433198,0,0.543446172,0,0.196972767,0.001969728,1.11E-05,5.53E-06,0.013234468,0.000661723
62,0.065466999,0.304464355,623543,2048000,623.543,95,-2.134385448,3.995785553,0.00447553,0.000895106,0.001232622,0,0.795398205,0,0.731362453,0.021940874,0.999990819,0.039999633,0.001421326,0,0.542321745,0,0.196558061,0.001965581,1.91E-05,9.57E-06,0.013124744,0.000656237
63,0.065409125,0.303349609,621260,2048000,621.26,94.732,-2.135445856,3.9968929,0.004291605,0.000858321,0.001223498,0,0.795228075,0,0.731208228,0.021936247,0.999995461,0.039999818,0.001406143,0,0.54099655,0,0.195901296,0.001959013,1.13E-05,5.63E-06,0.013001987,0.000650099
64,0.065356344,0.301922363,618337,2048000,618.337,94,-2.136019409,3.996965137,0.004122454,0.000824491,0.001215198,0,0.795065418,0,0.731060441,0.021931813,0.999992947,0.039999718,0.001391263,0,0.53965963,0,0.19500166,0.001950017,1.10E-05,5.48E-06,0.012896553,0.000644828
65,0.065301549,0.300783691,616005,2048000,616.005,94,-2.136578962,3.996955366,0.003943353,0.000788671,0.001206768,0,0.794922303,0,0.730930503,0.021927915,0.999992971,0.039999719,0.001374737,0,0.538314836,0,0.194021681,0.001940217,1.03E-05,5.15E-06,0.012797543,0.000639877
66,0.065222628,0.299812012,614015,2048000,614.015,94,-2.137602112,3.997881054,0.003641651,0.00072833,0.001196191,0,0.794823198,0,0.730840343,0.02192521,0.999995407,0.039999816,0.001352366,0,0.536617527,0,0.193108534,0.001931085,6.67E-06,3.33E-06,0.012697055,0.000634853
67,0.065151385,0.297904297,610108,2048000,610.108,94,-2.13753952,3.996436142,0.003371474,0.000674295,0.001188512,0,0.794711807,0,0.730738885,0.021922167,0.999991327,0.039999653,0.001337263,0,0.535221565,0,0.191735538,0.001917355,1.46E-05,7.31E-06,0.012612136,0.000630607
